"ranking","problema","descricao","desenvolvimento","arquivo_fonte","nota_dor_financeira","ponderada_dor_financeira","nota_gambiarras","ponderada_gambiarras","nota_frequencia","ponderada_frequencia","nota_urgencia","ponderada_urgencia","nota_dor_tempo","ponderada_dor_tempo","nota_risco","ponderada_risco","nota_frustracao","ponderada_frustracao","nota_consequencia_erro","ponderada_consequencia_erro","nota_observabilidade","ponderada_observabilidade","nota_clareza_persona","ponderada_clareza_persona","nota_tam","ponderada_tam","nota_crescimento","ponderada_crescimento","nota_monopolio_local","ponderada_monopolio_local","nota_amplitude","ponderada_amplitude","nota_escala_nao_linear","ponderada_escala_nao_linear","nota_ticket","ponderada_ticket","nota_expansao","ponderada_expansao","nota_penetracao_digital","ponderada_penetracao_digital","nota_internacionalizacao","ponderada_internacionalizacao","nota_dep_infraestrutura","ponderada_dep_infraestrutura","nota_timing_tech","ponderada_timing_tech","nota_timing_regulatorio","ponderada_timing_regulatorio","nota_mudanca_comportamental","ponderada_mudanca_comportamental","nota_pressao_macro","ponderada_pressao_macro","nota_janela","ponderada_janela","nota_acesso_usuarios","ponderada_acesso_usuarios","nota_velocidade_validacao","ponderada_velocidade_validacao","nota_facilidade_mvp","ponderada_facilidade_mvp","nota_mudanca_habito","ponderada_mudanca_habito","nota_dados_disponiveis","ponderada_dados_disponiveis","nota_aha_moment","ponderada_aha_moment","nota_multiplos_lados","ponderada_multiplos_lados","nota_feedback","ponderada_feedback","nota_wtp","ponderada_wtp","nota_clareza_pagador","ponderada_clareza_pagador","nota_orcamento","ponderada_orcamento","nota_ciclo_vendas","ponderada_ciclo_vendas","nota_recorrencia","ponderada_recorrencia","nota_poder_preco","ponderada_poder_preco","nota_cac","ponderada_cac","nota_ausencia_monopolios","ponderada_ausencia_monopolios","nota_efeito_rede","ponderada_efeito_rede","nota_switching_cost","ponderada_switching_cost","nota_dados_proprietarios","ponderada_dados_proprietarios","nota_diferenciacao_10x","ponderada_diferenciacao_10x","nota_fragmentacao","ponderada_fragmentacao","nota_tarpit","ponderada_tarpit","nota_risco_legal","ponderada_risco_legal","nota_platform_risk","ponderada_platform_risk","nota_alinhamento_ods","ponderada_alinhamento_ods","subtotal_1_dor_comportamento","pct_1_dor_comportamento","subtotal_2_mercado_escala","pct_2_mercado_escala","subtotal_3_timing","pct_3_timing","subtotal_4_validacao_lean","pct_4_validacao_lean","subtotal_5_monetizacao","pct_5_monetizacao","subtotal_6_defensibilidade","pct_6_defensibilidade","subtotal_7_riscos_fatais","pct_7_riscos_fatais","total_geral","max_total","pct_total"
"176","Barreiras Tributárias à Aposentadoria Parcial","A transição abrupta entre trabalhar 40 horas e zero horas mata o propósito do idoso, mas as leis penalizam quem deseja trabalhar apenas 2 dias na semana.","Sistemas previdenciários e de RH não suportam contratos fracionados, obrigando o corte total do vínculo. Oportunidade: HR Techs B2B focadas em transição de carreira prateada, criando pontes contratuais dinâmicas e planejamento fiscal progressivo para trabalho ""part-time"" senior.","100_novos_problemas_fase_2.csv","6","30","5","25","5","25","5","20","6","24","5","20","6","24","5","20","6","18","9","27","6","30","8","40","6","24","5","15","6","24","7","21","6","18","4","12","5","10","5","10","6","30","6","30","9","36","6","24","7","28","6","30","5","25","5","20","6","24","5","15","5","15","6","18","6","18","6","30","7","35","5","20","5","15","6","18","5","15","5","15","7","28","5","20","5","20","5","15","8","24","6","12","6","30","6","24","7","28","7","21","233","56.8","204","60.0","148","67.3","165","55.0","148","56.9","119","59.5","103","64.4","1120","1890","59.3"
"177","Asfixia do Investimento em Deep-Tech Face ao ""Custo Zero"" do Software","Como startups de LLMs custam pouco para começar (Vibe Coding), os investidores recusam destinar capital às caríssimas empresas de satélites, usinas e biotecnologia pesada.","Inovações que exigem galpões e cientistas não conseguem competir contra apps de IA no curto prazo. Oportunidade: corretoras de financiamento fatiado baseado no alcance de marcos auditáveis (""Milestone Crowdfunding"") para inovação focada estritamente em hardware e infraestrutura crítica.","100_novos_problemas_fase_2.csv","6","30","5","25","5","25","5","20","5","20","5","20","6","24","5","20","7","21","8","24","6","30","8","40","6","24","5","15","9","36","6","18","6","18","6","18","5","10","4","8","10","50","5","25","6","24","6","24","8","32","6","30","5","25","4","16","6","24","6","18","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","6","30","6","24","7","28","5","15","229","55.9","217","63.8","155","70.5","164","54.7","142","54.6","116","58.0","97","60.6","1120","1890","59.3"
"178","Assimetria em Seguros Corporativos e o ""Outcomes-as-a-Service","Planos empresariais afundam pagando drogas caras sem garantias de que os funcionários mudarão os hábitos.","Os custos do RH disparam. Oportunidade: Healthtechs de B2B que precificam o serviço de saúde através de ""Outcomes-as-a-Service"", atrelando o pagamento da operadora aos resultados reais de melhoria de biomarcadores da equipe.","100_novos_problemas_fase_2.csv","6","30","5","25","5","25","5","20","6","24","6","24","6","24","5","20","6","18","6","18","10","50","7","35","6","24","5","15","8","32","7","21","6","18","5","15","5","10","5","10","6","30","5","25","6","24","6","24","7","28","7","35","4","20","3","12","6","24","5","15","5","15","6","18","6","18","8","40","7","35","6","24","4","12","8","24","7","21","5","15","7","28","5","20","5","20","5","15","7","21","6","12","6","30","1","4","7","28","8","24","228","55.6","230","67.6","131","59.5","157","52.3","171","65.8","116","58.0","86","53.8","1119","1890","59.2"
"179","Bolha Inflacionária da Humanização de Pets","Com as taxas de natalidade caindo, cães e gatos viraram ""filhos"", levando os custos veterinários a níveis similares aos humanos.","A inflação veterinária é galopante; donos entram em falência pessoal para custear tratamentos de câncer em pets. Oportunidade: planos de saúde preventivos para pets suportados por genômica e tele-triagem via agentes de IA treinados em diagnóstico animal.","100_novos_problemas_fase_2.csv","6","30","5","25","5","25","5","20","6","24","7","28","5","20","6","24","6","18","6","18","8","40","8","40","6","24","5","15","8","32","6","18","6","18","5","15","5","10","5","10","9","45","5","25","6","24","7","28","8","32","6","30","4","20","4","16","6","24","5","15","5","15","6","18","6","18","6","30","6","30","6","24","4","12","6","18","7","21","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","3","12","7","28","8","24","232","56.6","222","65.3","154","70.0","156","52.0","150","57.7","116","58.0","89","55.6","1119","1890","59.2"
"180","Clonagem Sintética de Voz e Fraudes Familiares","O uso de IA generativa para clonar vozes está causando uma epidemia de extorsão contra idosos e famílias.","Criminosos capturam áudios curtos em redes sociais e geram ligações falsas perfeitas de sequestro ou emergência. Oportunidade: protocolos de ""Zero-Trust Audio"" e biometria vocal reversa integrados às operadoras de telecom para autenticar a origem humana em tempo real.","100_novos_problemas_fase_2.csv","5","25","5","25","5","25","6","24","6","24","5","20","6","24","6","24","6","18","6","18","6","30","8","40","6","24","5","15","8","32","6","18","6","18","5","15","5","10","5","10","10","50","5","25","6","24","6","24","8","32","6","30","5","25","6","24","6","24","5","15","5","15","5","15","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","7","28","6","24","6","24","5","15","7","21","6","12","5","25","6","24","7","28","5","15","227","55.4","212","62.4","155","70.5","166","55.3","142","54.6","124","62.0","92","57.5","1118","1890","59.2"
"181","Falhas De Monitoramento Nos Repasses Financeiros E Governança Do Ecossistema De Transição Do Terceiro Setor (ONGs Climáticas)","Os capitais entram nas redes assistenciais mas perdem de 40% a 50% na fricção administrativa ineficiente gerando ceticismo absoluto do capital estrangeiro em mandar fundos à América Latina ou África.","As catástrofes exigem dinheiro rápido, mas as auditorias analógicas travam e perdem a emergência e o fundo repassado é retido. Oportunidade: As ONGs-as-a-Platform baseadas unicamente em relatórios imutáveis em Ledgers (Blockchain cívicos) e carteiras de validação onde o fundo repassador libera automaticamente via contratos a compra de fardos e remédios aos galpões verificados em tempo real (Fintech de ONGs transparente).","100_novos_problemas_fase_3.csv","7","35","6","30","5","25","6","24","5","20","5","20","6","24","5","20","7","21","7","21","8","40","7","35","6","24","5","15","8","32","6","18","6","18","6","18","5","10","6","12","7","35","5","25","6","24","6","24","7","28","6","30","5","25","5","20","6","24","6","18","6","18","5","15","6","18","5","25","6","30","6","24","6","18","8","24","5","15","5","15","7","28","6","24","5","20","5","15","7","21","6","12","6","30","3","12","6","24","5","15","240","58.5","222","65.3","136","61.8","168","56.0","151","58.1","120","60.0","81","50.6","1118","1890","59.2"
"182","Ansiedade de Obsolescência Frente à IA Agêntica","A evolução brutal da automação cognitiva faz trabalhadores jovens e maduros sentirem que suas carreiras expirarão em 3 anos.","A percepção de que um ""agente de IA"" pode assumir todo o departamento de marketing ou software trava o engajamento de longo prazo e decisões financeiras vitais (casa, filhos). Oportunidade: startups de ""Seguro de Empregabilidade"" que combinam reskilling contínuo ancorado ao currículo real e seguros contra desemprego algorítmico.","100_novos_problemas_sociedade_aprofundados.csv","5","25","5","25","7","35","4","16","6","24","4","16","6","24","5","20","7","21","9","27","6","30","7","35","6","24","6","18","9","36","6","18","6","18","6","18","5","10","6","12","9","45","5","25","8","32","6","24","7","28","6","30","5","25","7","28","6","24","5","15","4","12","6","18","6","18","5","25","5","25","6","24","4","12","6","18","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","6","24","7","28","5","15","233","56.8","219","64.4","154","70.0","170","56.7","134","51.5","116","58.0","92","57.5","1118","1890","59.2"
"183","O Vácuo no Preparo Emocional e Resiliência Para Um Mundo Volátil","A ""eco-ansiedade"", pânico financeiro e o terror do desalinhamento de carreira dominam os estudantes, mas o currículo ignora por completo a estabilidade psicoemocional.","Pessoas extremamente eficientes quebram diante da imensa incerteza geopolítica, abandonando carreiras inteiras em desespero mental. Oportunidade: edtechs de terapias comportamentais preventivas como matéria basilar da grade (Currículo Sócio-Emocional Integrado), baseadas no desenvolvimento da antifragilidade no modelo B2B Escolar.","100_novos_problemas_sociedade_aprofundados.csv","5","25","5","25","5","25","5","20","5","20","5","20","6","24","5","20","6","18","8","24","6","30","8","40","6","24","5","15","8","32","6","18","6","18","6","18","5","10","6","12","9","45","5","25","6","24","6","24","8","32","6","30","5","25","6","24","6","24","6","18","5","15","6","18","6","18","6","30","6","30","6","24","5","15","6","18","5","15","5","15","8","32","5","20","6","24","5","15","7","21","6","12","5","25","5","20","6","24","6","18","221","53.9","217","63.8","150","68.2","172","57.3","147","56.5","124","62.0","87","54.4","1118","1890","59.2"
"184","Quebras Multicontinentais Ameaçando a Segurança Alimentar","A concentração do cultivo de grãos essenciais em poucas regiões hiper-vulneráveis gera risco de ruptura alimentar global.","Uma combinação de seca no Brasil e nos EUA ao mesmo tempo (já possível no novo clima) pode causar picos de fome severa e instabilidade geopolítica. Oportunidade: infraestruturas massivas de agricultura indoor (vertical farming), produção de proteínas sintéticas e fermentação de precisão.","100_novos_problemas_sociedade_aprofundados.csv","5","25","5","25","5","25","6","24","6","24","7","28","5","20","6","24","6","18","6","18","9","45","6","30","6","24","5","15","6","24","6","18","6","18","5","15","5","10","4","8","6","30","7","35","6","24","10","40","8","32","5","25","5","25","2","8","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","6","18","5","15","7","28","5","20","5","20","5","15","7","21","6","12","6","30","6","24","7","28","9","27","231","56.3","207","60.9","161","73.2","148","49.3","145","55.8","116","58.0","109","68.1","1117","1890","59.1"
"185","Concentração Despotica de Poder nas Infraestruturas de LLMs","Toda a economia mundial passa a depender das APIs de apenas três ou quatro megacorporações do Vale do Silício que controlam a inteligência fundacional.","Essa dependência significa que uma mudança unilateral de regras ou preçário pode quebrar milhares de startups de aplicação em 24h. Oportunidade: investimento brutal em modelos open-source hiper-otimizados e redes descentralizadas de computação (DePIN) que estilhacem o monopólio do compute.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","5","25","5","20","5","20","5","20","5","20","5","20","7","21","7","21","7","35","8","40","6","24","5","15","9","36","6","18","6","18","6","18","6","12","5","10","10","50","5","25","6","24","6","24","8","32","6","30","5","25","5","20","6","24","6","18","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","6","24","6","24","5","20","5","15","7","21","6","12","5","25","6","24","6","24","5","15","222","54.1","226","66.5","155","70.5","168","56.0","142","54.6","116","58.0","88","55.0","1117","1890","59.1"
"186","Evaporação Severa e Assoreamento em Reservatórios Hídricos","A combinação de secas intensas com o desmatamento ao redor das represas seca as fontes de hidroenergia e água potável.","Espelhos d'água perdem volumes imensos para a atmosfera quente. Oportunidade: infraestruturas de painéis solares flutuantes (""floatovoltaics"") que bloqueiam a evaporação e geram energia 20% mais eficiente por causa do resfriamento da água.","100_novos_problemas_fase_2.csv","5","25","5","25","5","25","6","24","6","24","7","28","6","24","6","24","6","18","6","18","9","45","8","40","6","24","5","15","6","24","6","18","6","18","5","15","5","10","2","4","6","30","7","35","6","24","9","36","7","28","6","30","5","25","2","8","6","24","5","15","5","15","6","18","6","18","5","25","6","30","5","20","5","15","6","18","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","6","30","5","20","7","28","10","30","235","57.3","213","62.6","153","69.5","153","51.0","138","53.1","116","58.0","108","67.5","1116","1890","59.0"
"187","A Nova ""Taxação"" Privada Pelo Oligopólio dos Modelos Fundacionais","Se todas as IAs verticais pagam ""tributo"" a três ou quatro empresas de infraestrutura dos EUA, ocorre uma drenagem de toda a riqueza mundial para um único quarteirão no Vale do Silício.","Essa macro-concentração estanca a distribuição do PIB e reduz a força das economias médias. Oportunidade: modelos inovadores de ""Data Dividends"" locais, plataformas comunitárias (Data Unions) que remuneram o cidadão por cada pixel fornecido para treinar os robôs estatais abertos.","100_novos_problemas_fase_2.csv","6","30","5","25","5","25","5","20","5","20","5","20","6","24","5","20","7","21","7","21","8","40","8","40","6","24","5","15","8","32","6","18","6","18","5","15","6","12","5","10","9","45","5","25","6","24","6","24","8","32","6","30","5","25","6","24","5","20","6","18","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","6","24","6","24","5","20","5","15","7","21","5","10","5","25","6","24","7","28","5","15","226","55.1","224","65.9","150","68.2","168","56.0","142","54.6","114","57.0","92","57.5","1116","1890","59.0"
"188","Ausência de Produtos Premium para a Vitalidade Prateada","As indústrias tratam os consumidores idosos através do prisma da doença e da fragilidade, ignorando seu anseio por experiência e luxo.","A economia prateada é rica, mas recebe campanhas de marketing deprimentes. O 60+ quer viajar, aprender e namorar, não apenas remédios. Oportunidade: marcas de luxo nativas para idosos, turismo experiencial de baixo impacto físico e aplicativos de encontros específicos para essa fase.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","5","25","6","24","5","20","5","20","6","24","5","20","6","18","10","30","7","35","8","40","6","24","5","15","5","20","6","18","6","18","4","12","5","10","4","8","6","30","5","25","8","32","6","24","7","28","6","30","5","25","5","20","5","20","5","15","5","15","6","18","6","18","6","30","6","30","6","24","5","15","6","18","6","18","5","15","8","32","5","20","5","20","5","15","8","24","6","12","6","30","6","24","8","32","7","21","236","57.6","200","58.8","139","63.2","161","53.7","150","57.7","123","61.5","107","66.9","1116","1890","59.0"
"189","Valorização de experiências analógicas e locais como refúgio","Uma parte da população reage à saturação digital buscando espaços sem algoritmo.","Cafés, livrarias, clubes de leitura e eventos presenciais que enfatizam encontro humano genuíno ganham relevo como antídoto à vida mediada por feeds; há oportunidade de criar negócios e políticas urbanas que fomentem esses terceiros lugares, mas eles ainda são escassos em muitos territórios.","100-200 oportunidades_problemas.csv","6","30","5","25","5","25","5","20","5","20","5","20","5","20","6","24","6","18","6","18","6","30","8","40","6","24","6","18","8","32","6","18","6","18","6","18","5","10","6","12","9","45","6","30","6","24","6","24","7","28","6","30","6","30","6","24","6","24","4","12","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","6","18","7","28","5","20","5","20","5","15","6","18","6","12","5","25","6","24","7","28","6","18","220","53.7","220","64.7","151","68.6","171","57.0","145","55.8","113","56.5","95","59.4","1115","1890","59.0"
"190","Paralisia Analítica Perante Estoques Globais Infinitos","Ter acesso a 10 milhões de variações do mesmo fone de ouvido no e-commerce cria uma fadiga de decisão que trava a compra e causa ansiedade.","O cérebro humano não foi feito para escolher o ""melhor negócio"" global. Oportunidade: agentes Pessoais de Compras via IA (Personal AI Shoppers) programados com restrições severas, que só apresentam as 2 melhores opções ao usuário.","100_novos_problemas_fase_2.csv","6","30","5","25","5","25","5","20","6","24","5","20","6","24","5","20","6","18","6","18","7","35","8","40","6","24","6","18","8","32","6","18","6","18","5","15","6","12","5","10","9","45","5","25","6","24","6","24","8","32","6","30","5","25","6","24","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","6","24","7","28","5","15","224","54.6","222","65.3","150","68.2","169","56.3","142","54.6","116","58.0","92","57.5","1115","1890","59.0"
"191","Invasão Sistêmica de Fauna Migrante e Raiva Zoonótica em Grandes Cidades","Com florestas queimando e biomas secando, lobos-guarás, javalis, felinos selvagens e primatas infectados migram diretamente para lixões e quintais da periferia e dos condomínios centrais buscando água.","Os conflitos (mordidas, acidentes de viação, risco de vírus novos) tornam a periferia perigosa e o pânico local aumenta. Oportunidade: Agritechs urbanas estruturando cinturões de alimentação perimetrais florestais afastados, contendo o fluxo animal através de armadilhas repelentes sônicas de alta frequência por aproximação georreferenciada.","100_novos_problemas_fase_3.csv","5","25","5","25","5","25","6","24","5","20","7","28","6","24","6","24","7","21","7","21","7","35","6","30","6","24","5","15","6","24","6","18","6","18","5","15","4","8","5","10","6","30","7","35","6","24","8","32","7","28","6","30","5","25","5","20","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","6","30","6","24","7","28","9","27","237","57.8","197","57.9","149","67.7","165","55.0","142","54.6","116","58.0","109","68.1","1115","1890","59.0"
"192","O Apagão de Mão de Obra na Manufatura de Defesa e Indústria Pesada","Com todos os talentos indo para startups e IA de software, fábricas que fundem metais, constroem navios e turbinas estão ficando sem engenheiros físicos.","O conhecimento tátil está se perdendo. Oportunidade: revitalização do setor ""Boring Tech"" e Heavy Industries através da injeção de agentes de IA operacionais que tornam o chão de fábrica gerido como linhas de código.","100_novos_problemas_fase_2.csv","5","25","5","25","5","25","5","20","6","24","6","24","5","20","6","24","6","18","7","21","8","40","10","50","6","24","6","18","6","24","6","18","6","18","6","18","5","10","1","2","9","45","5","25","6","24","7","28","8","32","6","30","5","25","2","8","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","6","18","5","15","6","24","5","20","5","20","5","15","7","21","6","12","5","25","6","24","8","32","7","21","226","55.1","222","65.3","154","70.0","153","51.0","145","55.8","112","56.0","102","63.7","1114","1890","58.9"
"193","Crise Sistêmica de Propósito Pessoal Face à Ultra-Abundância Sintética","Quando a máquina desenha, escreve o código, faz o roteiro e resolve a logística, o humano cai num vácuo existencial de inutilidade perante a automação (Nihilismo da Abundância).","O ""fazer"" sempre deu propósito; sem a labuta da criação, a mente despenca em adoecimento endêmico e tédio letal. Oportunidade: a formatação de Ritos de Passagem analógicos, plataformas voltadas ao ""Fazer Manual Voluntário"" de altíssima dificuldade como luxo experiencial definitivo (O Renascimento do Artífice).","100_novos_problemas_fase_2.csv","5","25","6","30","5","25","6","24","5","20","5","20","5","20","5","20","7","21","7","21","6","30","8","40","6","24","5","15","8","32","6","18","6","18","4","12","5","10","5","10","8","40","5","25","6","24","6","24","8","32","6","30","5","25","7","28","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","5","15","7","21","5","15","5","15","8","32","6","24","5","20","5","15","7","21","6","12","5","25","6","24","7","28","5","15","226","55.1","209","61.5","145","65.9","173","57.7","145","55.8","124","62.0","92","57.5","1114","1890","58.9"
"194","Os ""Padrões Sombrios"" e A Fricção Prisional dos Cancelamentos Digitais","As assinaturas são fáceis com 1 clique, mas cancelar um jornal ou academia exige 5 ligações, robôs defensivos confusos e pressão psicológica, exaurindo e ludibriando o consumidor.","A raiva do consumidor está gerando boicote generalizado às assinaturas. Oportunidade: FinTechs ativistas baseadas em cartões virtuais auto-destrutivos por tempo ou limite e agentes de IA ofensivos focados exclusivamente em caçar e forçar cancelamentos corporativos.","100_novos_problemas_fase_3.csv","5","25","5","25","5","25","6","24","6","24","5","20","6","24","5","20","7","21","7","21","6","30","8","40","6","24","5","15","8","32","6","18","6","18","5","15","5","10","5","10","9","45","5","25","6","24","6","24","8","32","6","30","5","25","6","24","6","24","5","15","5","15","6","18","6","18","6","30","6","30","6","24","6","18","6","18","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","5","20","7","28","5","15","229","55.9","212","62.4","150","68.2","169","56.3","150","57.7","116","58.0","88","55.0","1114","1890","58.9"
"195","Ameaça Mortal No Rompimento da Governança Exclusiva de IA Corporativa Nos Órgãos do Governo","O Brasil e países de recursos utilizam APIs públicas para analisar sentenças de trânsito locais, ler editais e checar faturas alfandegárias de bilhões mensais. Quando as caixas pretas falham num update impensado pelas filiais americanas, o estado colapsa sob falsos pagamentos e julgamentos imprecisos nas alfândegas.","Essa colonização de infraestrutura judiciária causa atrito militar a longo prazo. Oportunidade: IAs Departamentais abertas para Governos usando Open-Source de alta segurança atrelados a datacenters blindados sob a terra sem atualização online constante de LLMs mundiais, protegendo soberania física alfandegária e burocrática integral do município e Estado.","100_novos_problemas_fase_3.csv","6","30","5","25","6","30","4","16","5","20","6","24","5","20","5","20","8","24","7","21","6","30","8","40","6","24","5","15","9","36","8","24","6","18","6","18","4","8","5","10","10","50","6","30","6","24","6","24","8","32","5","25","6","30","5","20","6","24","6","18","4","12","6","18","5","15","4","20","5","25","6","24","5","15","6","18","6","18","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","6","24","6","24","5","15","230","56.1","223","65.6","160","72.7","162","54.0","135","51.9","116","58.0","88","55.0","1114","1890","58.9"
"196","Gargalos Perigosos Nas Novas Farmácias De Manipulação Em Escala Digital Perante O Risco Da Mistura Contaminada Nos Transportes Regionais Constantes Dos Remédios Da Era ""Customizada"".","Ao enviar remédios líquidos diários a milhares de lares com base numa prescrição automatizada, o tempo e os choques no frete geram misturas não intencionais de calor, invalidando a cura ou criando colapso dos hormônios que ficam parados sob os vidros solares de entregadores rodoviários quentes e irresponsáveis.","O boom da personalização foi rápido; o motoboy continua rodando sob o calor dos trópicos. Oportunidade: Soluções térmicas e Embalagens IoT Termocromáticas e Reativas que marcam e provam a pureza dos despachos de saúde da indústria em rotas dinâmicas agendáveis estritamente monitoradas por seguradoras corporativas e validação dos sistemas farmacológicos online de forma infalível e punitiva.","100_novos_problemas_fase_3.csv","6","30","5","25","6","30","6","24","5","20","6","24","6","24","6","24","7","21","8","24","8","40","6","30","6","24","5","15","6","24","6","18","6","18","6","18","5","10","5","10","6","30","5","25","6","24","6","24","7","28","6","30","6","30","5","20","6","24","5","15","6","18","6","18","6","18","5","25","6","30","6","24","6","18","6","18","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","6","30","5","20","7","28","6","18","246","60.0","207","60.9","131","59.5","173","57.7","145","55.8","116","58.0","96","60.0","1114","1890","58.9"
"197","Conflito entre Megamineração e Segurança Hídrica","A extração de minerais para a economia verde compete por água em regiões que já sofrem com secas extremas.","Minas de cobre e lítio consomem volumes colossais de água em desertos (ex: Atacama) e no Brasil, gerando revolta e boicotes sociais. Oportunidade: tecnologias de mineração a seco, uso de água do mar dessalinizada e extração direta de lítio (DLE) baseada em nanotecnologia.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","5","25","6","24","5","20","7","28","6","24","6","24","6","18","6","18","10","50","6","30","6","24","5","15","6","24","8","24","6","18","5","15","4","8","1","2","6","30","7","35","6","24","10","40","7","28","6","30","5","25","2","8","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","6","18","5","15","7","28","5","20","5","20","5","15","7","21","6","12","6","30","3","12","7","28","9","27","236","57.6","210","61.8","157","71.4","153","51.0","145","55.8","116","58.0","97","60.6","1114","1890","58.9"
"198","Exposição de hospitais e serviços críticos a falhas de energia","Infraestruturas de saúde, telecomunicações e segurança pública continuam dependentes de redes vulneráveis e geradores obsoletos.","Com mais operações cirúrgicas, UTI, telemedicina e sistemas de monitoramento conectados, a tolerância a interrupções diminuiu; porém, muitos hospitais e órgãos públicos funcionam em prédios antigos sem microgrids, baterias ou redundância adequada, deixando populações vulneráveis expostas a riscos de vida durante eventos climáticos extremos.","100-200 oportunidades_problemas.csv","5","25","6","30","5","25","6","24","5","20","7","28","6","24","5","20","7","21","7","21","9","45","8","40","6","24","5","15","6","24","6","18","6","18","6","18","5","10","2","4","6","30","5","25","6","24","7","28","6","24","7","35","5","25","2","8","6","24","6","18","5","15","5","15","6","18","5","25","6","30","6","24","5","15","7","21","6","18","6","18","7","28","6","24","5","20","5","15","6","18","6","12","6","30","5","20","7","28","8","24","238","58.0","216","63.5","131","59.5","158","52.7","151","58.1","117","58.5","102","63.7","1113","1890","58.9"
"199","Isolamento Industrial de Países Intermediários","Nações não-alinhadas politicamente perdem investimentos massivos em infraestrutura nas novas cadeias de friendshoring.","O fluxo de capital foge de áreas neutras em favor de zonas aliadas aos blocos dos EUA ou China, condenando os demais à desindustrialização precoce. Oportunidade: plataformas financeiras e zonas de livre comércio hiper-auditadas que garantam neutralidade e compliance com ambos os blocos.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","6","30","5","20","5","20","6","24","5","20","5","20","6","18","6","18","8","40","6","30","6","24","6","18","6","24","7","21","7","21","6","18","5","10","5","10","7","35","5","25","6","24","8","32","8","32","5","25","5","25","3","12","6","24","6","18","5","15","6","18","6","18","6","30","6","30","6","24","5","15","6","18","6","18","5","15","7","28","6","24","5","20","5","15","7","21","6","12","8","40","5","20","6","24","5","15","225","54.9","216","63.5","148","67.3","155","51.7","150","57.7","120","60.0","99","61.9","1113","1890","58.9"
"200","Exaustão Social perante a Homogeneização Algorítmica","Plataformas nivelaram a cultura, o consumo e o design urbano; tudo parece idêntico porque os mesmos modelos treinam as mesmas recomendações.","A identidade pessoal (Fiercely Unfiltered) está em conflito com o ""algoritmo que sugere as mesmas roupas e músicas para todos"". Oportunidade: surgimento de clubes de curadoria 100% humana, plataformas anti-trends e modelos de e-commerce baseados em serendipidade analógica.","100_novos_problemas_sociedade_aprofundados.csv","5","25","5","25","5","25","5","20","5","20","5","20","6","24","5","20","6","18","5","15","6","30","8","40","6","24","6","18","9","36","6","18","6","18","5","15","5","10","6","12","9","45","5","25","6","24","6","24","8","32","6","30","5","25","7","28","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","7","28","6","24","5","20","5","15","7","21","6","12","5","25","6","24","7","28","6","18","212","51.7","221","65.0","150","68.2","173","57.7","142","54.6","120","60.0","95","59.4","1113","1890","58.9"
